BTC,Bitcoin,'bitcoin:XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'
ETH,Ethereum,'ethereum:XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'
BNB,Binance Coin
DOGE,Dogecoin
XRP,XRP
ADA,Cardano
USDT,Tether
DOT,Polkadot
BCH,Bitcoin Cash
LTC,Litecoin
UNI,Uniswap
LINK,Chainlink
USDC,USD Coin
XLM,Stellar
ETC,Ethereum Classic
VET,VeChain
SOL,Solana
EOS,EOS
THETA,Theta Network
OKB,OKB
TRX,TRON
WBTC,Wrapped Bitcoin
MATIC,Polygon
FIL,Filecoin
AAVE,Aave
BUSD,Binance USD
XMR,Monero
NEO,NEO
KLAY,Klaytn
CETH,cETH
LUNA,Terra
BSV,Bitcoin SV
HT,Huobi Token
ATOM,Cosmos
MIOTA,IOTA
CAKE,PancakeSwap
XTZ,Tezos
SAFEMOON,SafeMoon
KSM,Kusama
FTT,FTX Token
AVAX,Avalanche
MKR,Maker
DAI,Dai
RUNE,THORChain
ALGO,Algorand
CRO,Crypto.com Coin
CDAI,cDAI
BTT,BitTorrent
COMP,Compound
CUSDC,cUSDC
DASH,Dash
LEO,LEO Token
ZEC,Zcash
WAVES,Waves
SNX,Synthetix Network Token
SUSHI,Sushi
EGLD,Elrond
XEM,NEM
YFI,yearn.finance
CEL,Celsius Network
HBAR,Hedera Hashgraph
DCR,Decred
AMP,Amp
ZIL,Zilliqa
TEL,Telcoin
CHZ,Chiliz
QTUM,Qtum
NEAR,Near
NEXO,NEXO
HOT,Holo
UST,TerraUSD
ENJ,Enjin Coin
BAT,Basic Attention Token
ONT,Ontology
FTM,Fantom
BTG,Bitcoin Gold
STX,Stacks
MANA,Decentraland
NANO,Nano
DGB,DigiByte
GRT,The Graph
GT,GateToken
HBTC,Huobi BTC
ZEN,Horizen
SC,Siacoin
UMA,UMA
LUSD,Liquity USD
OMG,OMG Network
BNT,Bancor Network Token
ZRX,0x
ARRR,Pirate Chain
AR,Arweave
STETH,Lido Staked Ether
ICX,ICON
HNT,Helium
CRV,Curve DAO Token
XVS,Venus
RVN,Ravencoin
IOST,IOST
TUSD,TrueUSD
